"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Concept Drift Detection in Email Dataset through Intention Based Segmentation","V. Middha; S. K. Sonbhadra; S. Agarwal","Department of IT, IIIT, Allahabad Prayagraj, India; Department of IT, IIIT, Allahabad Prayagraj, India; Department of IT, IIIT, Allahabad Prayagraj, India",2019 IEEE Students Conference on Engineering and Systems (SCES),"3 Feb 2020","2019","","","1","5","In a dynamic environment, detection of changes in concept is very important for prediction and decision-based applications. Concept drift detection helps decision makers to perform smarter maintenance and operations at an appropriate time. In the context of Emails, concept drift is defined as how the concepts in Emails are changing with time. In this paper, a novel method is presented based on intention based segmentation to calculate concept drift in Email dataset. In intention based segmentation instead of comparing the contents of email as whole, it is divided into segments focusing on same intention and compared. Division of sentences is done on the basis of voices and tenses with the help of POS Tagging. After that, Hierarchical Clustering is used for clustering of segments and comparison is done using Vector Space Model. Importance of concept drift detection in Email domain is to find the emails which will be of less interest to user. It also helps to find the current interests of user by analyzing the changes in concepts over time.","","978-1-7281-0577-2","10.1109/SCES46477.2019.8977230","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8977230","Concept Drift;Intention-Based Segmentation;POS Tagging;Vector Space Model;Hierarchical Clustering","Concept drift;Focusing;Tagging;Vectors;Maintenance","","","","13","IEEE","3 Feb 2020","29-31 May 2019","29-31 May 2019","IEEE","IEEE Conferences"
"Privacy-Preserving Machine Learning Using Federated Learning and Secure Aggregation","D. Lia; M. Togan","Computer Science Dept, Military Technical Academy, Bucharest, Romania; Computer Science Dept, Military Technical Academy, Bucharest, Romania","2020 12th International Conference on Electronics, Computers and Artificial Intelligence (ECAI)","16 Oct 2020","2020","","","1","6","Over the past few years, machine learning has been responsible for the rapid advancements in fields such as computer vision, natural language processing and speech recognition. No small part of this success is due to data becoming more and more available, often being collected in privacy-invasive ways. The aim of this work is to study the use of two privacy-preserving solutions for training machine learning models: Federated Learning (FL) and Secure Multiparty Computation (MPC). Federated learning is a subfield of machine learning that allows training models on a large, decentralized corpus of data residing on edge devices like smartphones. Instead of sharing data, users collaboratively train a model by only sending weight updates to a server. By leveraging secure multiparty computation, it can be ensured that the server cannot inspect any individual user's update. To assess the feasibility of these approaches in different settings, a client-server architecture was implemented in Python and multiple experiments were run on datasets made available by LEAF in order to investigate ways of improving the overall performance of the models trained in a federated manner.","","978-1-7281-6843-2","10.1109/ECAI50035.2020.9223127","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9223127","federated learning;privacy;secure multiparty computation","Servers;Training;Collaborative work;Data models;Protocols;Computational modeling;Machine learning","","13","","24","IEEE","16 Oct 2020","25-27 June 2020","25-27 June 2020","IEEE","IEEE Conferences"
"Unknown Class Label Cleaning For Learning With Open-Set Noisy Labels","Q. Yu; K. Aizawa","Dept. of Information and Communication Eng., The University of Tokyo; Dept. of Information and Communication Eng., The University of Tokyo",2020 IEEE International Conference on Image Processing (ICIP),"30 Sep 2020","2020","","","1731","1735","Deep neural networks (DNNs) trained on large-scale annotated datasets have achieved impressive results in the area of image classification. Many large-scale datasets have been collected from websites; however, such data are inevitably corrupted with noise. In this study, we researched the open-set noisy label problem, where some outliers are contained in a dataset and annotated through a noisy label but do not belong to any class of training data. To address this problem, we propose a novel unknown class label cleaning framework for the training of DNNs with open-set noisy labels. In addition to general image classification, we also estimate the probability of an input being from an unknown class by assigning a pseudo unknown label to all of the data and correct these labels through an alternating update of the network parameters and labels. The results of experiments conducted on the noisy CIFAR-10 datasets demonstrate that our approach can robustly train DNNs with a high proportion of noisy labels.","2381-8549","978-1-7281-6395-6","10.1109/ICIP40778.2020.9190652","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9190652","Noisy label;label cleaning;open-set image classification","Noise measurement;Training;Training data;Cleaning;Optimization;Neural networks;Robustness","","5","","22","IEEE","30 Sep 2020","25-28 Oct. 2020","25-28 Oct. 2020","IEEE","IEEE Conferences"
"Applying Fourier Inspired Windows for Concept Drift Detection in Data Stream","S. Misra; D. Biswas; S. K. Saha; C. Mazumdar","RS Software (India) Limited, Kolkata, India; SRM Institute of Science and Technology, Chennai, India; Computer Science and Engineering Department, Jadavpur University, Kolkata, India; Computer Science and Engineering Department, Jadavpur University, Kolkata, India",2020 IEEE Calcutta Conference (CALCON),"2 Jun 2020","2020","","","152","156","Detecting concept drift by mining data stream is essentially based on two parameters - (a) the window length for observing the data, and (b) the threshold for the difference in certain properties of the data observed to confirm the drift. Efforts are mostly focused on the evaluation the statistical properties or building models using the data in the window. Less focus has been given in arriving at the size of the window length. This paper presents a Fourier analysis based mechanism to determine the window length and also presents a simple but novel algorithm for drift detection. The work is termed as Fourier Inspired Windows for Concept Drift detection (FIWCD). Fourier-inspired window slides over the stream till no drift are suspected and model parameters are gradually updated as and when required. Once a drift is suspected, the trend is observed and new model parameters are computed for the transitory phase. The transitory model and previous concept model are compared to confirm or reject the drift. Performance of proposed drift detection technique has also been compared with two popular drift detection techniques namely, Change Point Detection and Hypothesis Testing. Experiment with three commonly used public data sets reflects that FIWCD exhibits better resemblance to the ground truth.","","978-1-7281-4283-8","10.1109/CALCON49167.2020.9106537","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9106537","concept drift;stream analytics;stream mining","Computational modeling;Conferences;Buildings;Market research;Data models;Windows;Anomaly detection","","3","","27","IEEE","2 Jun 2020","28-29 Feb. 2020","28-29 Feb. 2020","IEEE","IEEE Conferences"
"Staged Training Strategy and Multi-Activation for Audio Tagging with Noisy and Sparse Multi-Label Data","K. He; Y. Shen; W. -Q. Zhang; J. Liu","Beijing National Research Center for Information Science and Technology Department of Electronic Engineering, Tsinghua University, Beijing, China; Khoury College of Computer Sciences, Northeastern University, Boston, MA, USA; Beijing National Research Center for Information Science and Technology Department of Electronic Engineering, Tsinghua University, Beijing, China; Beijing National Research Center for Information Science and Technology Department of Electronic Engineering, Tsinghua University, Beijing, China","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","631","635","Audio tagging aims to predict whether certain acoustic events occur in the audio clips. Due to the difficulty and huge cost of obtaining manually labeled data with high confidence, researchers begin to focus on audio tagging using a small set of manually-labeled data, and a larger set of noisy-labeled data. In addition, audio tagging is a sparse multi-label classification task, where only a small number of acoustic events may occur in an audio clip. In this paper, we propose a staged training strategy to deal with the noisy label, and adopt a sigmoid-sparsemax multi-activation structure to deal with the sparse multi-label classification. This paper is an improvement and extension of our previous work for participation in Task 2 of Detection and Classification of Acoustic Scenes and Events (DCASE) 2019 Challenge. We evaluate our methods on the identical task, and achieve state-of-the-art performance, with an lwlrap score of 0.7591 on official evaluation dataset.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9053776","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9053776","Audio tagging;noisy label;staged training strategy;multi-activation structure;DCASE2019 Challenge","Training;Training data;Tagging;Acoustics;Noise measurement;Task analysis;Speech processing","","","","20","IEEE","9 Apr 2020","4-8 May 2020","4-8 May 2020","IEEE","IEEE Conferences"
"Concept drift detection with False Positive rate for multi-label classification in IoT data stream","P. Wang; N. Jin; G. Fehringer","dept. computer and information science, Northumbria University Newcastle, Newcastle, UK; dept. computer and information science, Northumbria University Newcastle, Newcastle, UK; dept. computer and information science, Northumbria University Newcastle, Newcastle, UK",2020 International Conference on UK-China Emerging Technologies (UCET),"29 Sep 2020","2020","","","1","4","Machine learning, as a significant component of the Industrial Internet of Things (IIoT), has been widely applied in many fields. The continuously generated data from the various sensors are collected and stored, this is also known as a data stream. However, the non-stationary phenomenon in data stream, concept drift, is important to be detected immediately for the operation of the IoT system. Therefore, the detection method for concept drift is needed to alert the requirement to maintain or replace some components in advance, so as to avoid or mitigate the risk of malfunction of the IoT system. The majority of existing literature focuses on concept drift detection on binary classification. To fill this gap, here we propose an algorithm to detect multi-class. Moreover to improve the performance of detection, we also introduce an algorithm which integrates the existing error rate which is widely used with our newly proposed False Positive rate. The new method is called Drift Detection Method with False Positive rate for multi-label classification (DDM-FP-M). The DDM-FP-M firstly defines the false positive rate calculation method in multi-label classification, then integrates it with Drift Detection method with False positive rate (DDM-FP). The performance of the proposed method is evaluated through Intel Lab data and is found to outperform the Drift Detection method(DDM) over 50% cases.","","978-1-7281-9488-2","10.1109/UCET51115.2020.9205421","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9205421","Internet of Things(IoT);Machine learning;data stream mining;Concept drift;False Positive rate","Error analysis;Mathematical model;Monitoring;Training;Temperature sensors;Internet of Things","","7","","14","IEEE","29 Sep 2020","20-21 Aug. 2020","20-21 Aug. 2020","IEEE","IEEE Conferences"
"A Diversity Framework for Dealing With Multiple Types of Concept Drift Based on Clustering in the Model Space","C. W. Chiu; L. L. Minku","School of Computer Science, University of Birmingham, Birmingham, U.K.; School of Computer Science, University of Birmingham, Birmingham, U.K.",IEEE Transactions on Neural Networks and Learning Systems,"28 Feb 2022","2022","33","3","1299","1309","Data stream applications usually suffer from multiple types of concept drift. However, most existing approaches are only able to handle a subset of types of drift well, hindering predictive performance. We propose to use diversity as a framework to handle multiple types of drift. The motivation is that a diverse ensemble can not only contain models representing different concepts, which may be useful to handle recurring concepts, but also accelerate the adaptation to different types of concept drift. Our framework innovatively uses clustering in the model space to build a diverse ensemble and identify recurring concepts. The resulting diversity also accelerates adaptation to different types of drift where the new concept shares similarities with past concepts. Experiments with 20 synthetic and three real-world data streams containing different types of drift show that our diversity framework usually achieves similar or better prequential accuracy than existing approaches, especially when there are recurring concepts or when new concepts share similarities with past concepts.","2162-2388","","10.1109/TNNLS.2020.3041684","Engineering and Physical Sciences Research Council (EPSRC)(grant numbers:EP/R006660/2); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9302685","Clustering in the model space;concept drift;diversity;online ensemble learning;recurring concepts","Predictive models;Memory management;Data models;Monitoring;Prediction algorithms;Detectors;Training","","34","","38","IEEE","22 Dec 2020","March 2022","","IEEE","IEEE Journals"
"Learning with Drift Detection based on k Time Sub-concept Windows","L. Liu; N. Japkowicz; D. Tao; Z. Liu","School of Information Science and Technology, Huizhou University, Huizhou, China; Department of Computer Science, American University, Washington, DC, USA; School of Electronic and Information Engineering, Beijing Jiaotong University, Beijing, China; College of Medical Information Engineering, Guangdong Pharmaceutical University, Guanzhou, China",2019 IEEE International Conference on Consumer Electronics - Taiwan (ICCE-TW),"13 Feb 2020","2019","","","1","2","Concept drift detection has attracted much interest lately, due to the fact that a massive amount of streaming data are continuously being generated. Traditional concept drift detection methods, based on the monitoring performance of a base learner over instances from a data stream's whole time window, are not sensitive enough to sub-concept drifts and discover them late or not at all. This is because when aggregated together, the sub- concepts that form a concept are not carefully described. To solve this problem, we propose the kTSW based method that divides instances from a data stream's whole time window into $\pmb{k}$ subconcept windows, and then builds a drift monitor for instances from each sub window. Once a sub window's instances have experienced a concept drift, we update the learned model. Two real data sets are used to verify the validity of our method in data stream classification. Experimental results show that our method obtained higher accuracy and recall than methods based on the whole time window.","","978-1-7281-3279-2","10.1109/ICCE-TW46550.2019.8991757","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8991757","","Accuracy;Concept drift;Clustering algorithms;Monitoring;Consumer electronics","","1","","6","IEEE","13 Feb 2020","20-22 May 2019","20-22 May 2019","IEEE","IEEE Conferences"
"Concept Drift Detection on Unlabeled Data Streams: A Systematic Literature Review","N. L. A. Ghani; I. A. Aziz; M. Mehat","Centre of Research in Data Science, Universiti Teknologi Petronas, Seri Iskandar, Malaysia; Centre of Research in Data Science, Universiti Teknologi Petronas, Seri Iskandar, Malaysia; Centre of Foundation Studies, Universiti Teknologi Petronas, Seri Iskandar, Malaysia",2020 IEEE Conference on Big Data and Analytics (ICBDA),"15 Dec 2020","2020","","","61","65","Dynamic data streams applications are bound to potential changes in data distribution, of which in the context of data stream mining, will cause concept drift. Data stream mining model must have the capability to adapt to concept drift, otherwise, risk the deterioration of its learning performance. Most of the existing surveys on concept drift detection methods focused on labeled data streams, that may be inapplicable to scenario where true labels are unavailable. The aim of this systematic literature review is to study the existing concept drift detection methods on unlabeled data streams, focusing on the learning process and the way concept drift is monitored in the data stream mining model. A total of 15 articles are selected for final analysis, and it is found that most of the drift detection methods were applied in a supervised learning setting. An experimental evaluation of the methods can be performed in the future work to investigate their performance in unsupervised learning setting.","","978-1-7281-9246-8","10.1109/ICBDA50157.2020.9289802","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9289802","data streams;concept drift;unlabeled;unsupervised","Systematics;Machine learning algorithms;Supervised learning;Machine learning;Data mining;Monitoring;Unsupervised learning","","13","","25","IEEE","15 Dec 2020","17-19 Nov. 2020","17-19 Nov. 2020","IEEE","IEEE Conferences"
"DEMO: Real-time Edge Analytics and Concept Drift Computation for Efficient Deep Learning From Spectrum Data","Z. Khan; J. Lehtomäki; A. Shahid; I. Moerman","University of Oulu, Oulu, Finland; University of Oulu, Oulu, Finland; University of Ghent, Ghent, Belgium; University of Ghent, Ghent, Belgium",IEEE INFOCOM 2020 - IEEE Conference on Computer Communications Workshops (INFOCOM WKSHPS),"10 Aug 2020","2020","","","1290","1291","Cloud managed wireless network resource configuration platforms are being developed for efficient network utilization. These platforms can improve their performance by utilizing real-time edge analytics of key wireless metrics, such as wireless channel utilization (CU). This paper demonstrates a real-time spectrum edge analytics system which utilizes field-programmable gate array (FPGA) to process in real-time hundreds of millions of streaming inphase and quadrature (IQ) samples per second. It computes not only mean and maximum values of CU but also computes histograms to obtain probability distribution of CU values. It sends in real-time these descriptive statistics to an entity which collects these statistics and utilises them to train a deep learning model for prediction of future CU values. Even though utilization in a wireless channel can often exhibit stable seasonal patterns, they can be affected by uncertain usage events, such as sudden increase/decrease in channel usage within a certain time period. Such changes can unpredictably drift concept of CU data (underlying distribution of incoming CU data) over time. In general, concept drift can deteriorate the prediction performance of deep learning models which in turn can impact the performance of cloud managed resource allocation solution. This paper also demonstrates a real-time concept drift computation method which measures the changes in the probability distribution of CU data. Our implemented demonstration includes: 1) spectrum analytics and concept drift computation device which is realized in practical implementation by prototyping it on a low-cost ZedBoard with AD9361 RF transceiver attached to it. ZedBoard is equipped with a Xilinx Zynq-7000 system on chip; 2) a laptop which is connected to the Zedboard and it provides graphical real-time displays of computed CU values, CU histograms, and concept drift computation values. A laptop is also used to develop a deep learning based model for prediction of future CU values. For the INFOCOM we will show a live demonstration of the complete prototyped system in which the device performs real-time computations in an unlicensed frequency channel following the implemented algorithms on the FPGA of a Zedboard.","","978-1-7281-8695-5","10.1109/INFOCOMWKSHPS50562.2020.9162969","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9162969","","Deep learning;Performance evaluation;Histograms;Portable computers;Computational modeling;Concept drift;Predictive models;Real-time systems;Probability distribution;Field programmable gate arrays","","5","","4","IEEE","10 Aug 2020","6-9 July 2020","6-9 July 2020","IEEE","IEEE Conferences"
