"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Computer Vision Algorithms for Microscopy Classification of Nanocomposites Using a Federated Machine Learning Approach","S. A. Korchagin","Department of Artificial Intelligence, Leading Researcher, Institute of Digital Technologies, Financial University under the Government of the Russian Federation, Moscow, Russia",2024 International Conference on Actual Problems of Electron Devices Engineering (APEDE),"18 Oct 2024","2024","1","","219","221","The work solves the problem of classifying nanocomposites using computer vision technology in conditions where microscopy images obtained for training cannot be used centrally for training for various confidentiality reasons. To solve this problem, a computer vision system is implemented and an approach based on federated machine learning is presented, allowing the system to be trained locally considering data confidentiality criteria. The computer vision system is based on a modified convolutional neural network. A horizontal federated machine learning architecture is used to ensure data privacy. A comparison was made of this system with classical machine learning methods. The accuracy of the model was 93.4% according to the accuracy metric.","2836-2144","979-8-3503-9331-6","10.1109/APEDE59883.2024.10715891","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10715891","computer vision;nanocomposites;machine learning;federated learning;classification","Training;Measurement;Computer vision;Data privacy;Accuracy;Machine learning algorithms;Federated learning;Nanocomposites;Electron microscopy;Electron devices","","1","","21","IEEE","18 Oct 2024","26-27 Sept. 2024","26-27 Sept. 2024","IEEE","IEEE Conferences"
"Transformer-Based Federated Learning For Multi-Label Remote Sensing Image Classification","B. Büyüktaş; K. Weitzel; S. Völkers; F. Zailskas; B. Demir","BIFOLD - Berlin Institute for the Foundations of Learning and Data, Germany; Faculty of Electrical Engineering and Computer Science, Technische Universität, Berlin, Germany; Faculty of Electrical Engineering and Computer Science, Technische Universität, Berlin, Germany; Faculty of Electrical Engineering and Computer Science, Technische Universität, Berlin, Germany; BIFOLD - Berlin Institute for the Foundations of Learning and Data, Germany",IGARSS 2024 - 2024 IEEE International Geoscience and Remote Sensing Symposium,"5 Sep 2024","2024","","","8726","8730","Federated learning (FL) aims to collaboratively learn deep learning model parameters from decentralized data archives (i.e., clients) without accessing training data on clients. However, the training data across clients might be not independent and identically distributed (non-IID), which may result in difficulty in achieving optimal model convergence. In this work, we investigate the capability of state-of-the-art transformer architectures (which are MLP-Mixer, ConvMixer, PoolFormer) to address the challenges related to non-IID training data across various clients in the context of FL for multi-label classification (MLC) problems in remote sensing (RS). The considered transformer architectures are compared among themselves and with the ResNet-50 architecture in terms of their: 1) robustness to training data heterogeneity; 2) local training complexity; and 3) aggregation complexity under different non-IID levels. The experimental results obtained on the BigEarthNet-S2 benchmark archive demonstrate that the considered architectures increase the generalization ability with the cost of higher local training and aggregation complexities. On the basis of our analysis, some guidelines are derived for a proper selection of transformer architecture in the context of FL for RS MLC. The code of this work is publicly available at https://git.tu-berlin.de/rsim/FL-Transformer.","2153-7003","979-8-3503-6032-5","10.1109/IGARSS53475.2024.10641701","European Research Council; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10641701","Federated learning;multi-label image classification;transformers;remote sensing","Training;Accuracy;Federated learning;Training data;Transformers;Robustness;Complexity theory","","15","","26","IEEE","5 Sep 2024","7-12 July 2024","7-12 July 2024","IEEE","IEEE Conferences"
"Concept Drift Complexity for Assessing Sampling-Induced Concept Drift in Class-Imbalanced Data Streams","M. Hajmohammed; P. Chountas; T. J. Chaussalet","School of Computer Science & Eng., University of Westminster, London, United Kingdom; School of Computer Science & Eng., University of Westminster, London, United Kingdom; School of Computer Science & Eng., University of Westminster, London, United Kingdom",2024 IEEE 12th International Conference on Intelligent Systems (IS),"9 Oct 2024","2024","","","1","5","Resampling data is an engineering technique that has an impact on instances where the underlying data distribution and proportions of instances and classes change as a result. Applying any resampling technique may influence the occurrence of certain phenomena such as concept drift, class imbalance, and anomalies. Such influence may produce, exaggerate or eliminate the presence of these phenomena, whether they are viewed as a problem or as a characteristic of the data. Resampling, such as over- or under-sampling, introduces new challenges as well as resolving others. One of the challenges of resampling is its impact on concept drift in a data stream. This paper looks at concept drift produced as a result of data resampling, its nature and how to use its complexity as an indicator of performance. Additionally it examines the nature of concept drifts as a result of applying over- and under-sampling techniques and the various different concept drifts produced as a result of these two techniques. Even though concept drift, class imbalance, and resampling techniques have been studied and researched extensively, sampling-induced concept drift itself as a separate phenomenon has been under- researched. This phenomenon has a certain complexity and can have an impact on the model, which can be measured using concept drift complexity especially when using the value of complexity as a baseline for the overall complexity of drift in a dataset.","2767-9802","979-8-3503-5098-2","10.1109/IS61756.2024.10705246","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10705246","concept drift complexity;concept drift;sampling-induced concept drift;sampling techniques;data streams","Concept drift;Complexity theory;Intelligent systems","","1","","14","IEEE","9 Oct 2024","29-31 Aug. 2024","29-31 Aug. 2024","IEEE","IEEE Conferences"
"Multi-Label Noise Robust Collaborative Learning for Remote Sensing Image Classification","A. K. Aksoy; M. Ravanbakhsh; B. Demir","Faculty of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Faculty of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany; Faculty of Electrical Engineering and Computer Science, Technische Universität Berlin, Berlin, Germany",IEEE Transactions on Neural Networks and Learning Systems,"2 May 2024","2024","35","5","6438","6451","The development of accurate methods for multi-label classification (MLC) of remote sensing (RS) images is one of the most important research topics in RS. The MLC methods based on convolutional neural networks (CNNs) have shown strong performance gains in RS. However, they usually require a high number of reliable training images annotated with multiple land-cover class labels. Collecting such data is time-consuming and costly. To address this problem, the publicly available thematic products, which can include noisy labels, can be used to annotate RS images with zero-labeling cost. However, multi-label noise (which can be associated with wrong and missing label annotations) can distort the learning process of the MLC methods. To address this problem, we propose a novel multi-label noise robust collaborative learning (RCML) method to alleviate the negative effects of multi-label noise during the training phase of a CNN model. RCML identifies, ranks, and excludes noisy multi-labels in RS images based on three main modules: 1) the discrepancy module; 2) the group lasso module; and 3) the swap module. The discrepancy module ensures that the two networks learn diverse features, while producing the same predictions. The task of the group lasso module is to detect the potentially noisy labels assigned to multi-labeled training images, while the swap module is devoted to exchange the ranking information between two networks. Unlike the existing methods that make assumptions about noise distribution, our proposed RCML does not make any prior assumption about the type of noise in the training set. The experiments conducted on two multi-label RS image archives confirm the robustness of the proposed RCML under extreme multi-label noise rates. Our code is publicly available at: https://www.noisy-labels-in-rs.org.","2162-2388","","10.1109/TNNLS.2022.3209992","European Research Council (ERC) through the ERC-2017-STG BigEarth Project(grant numbers:759764); German Ministry for Education and Research through the Berlin Institute for the Foundations of Learning and Data (BIFOLD)(grant numbers:01IS18025A); TreeSatAI Project(grant numbers:01lS20014A); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9926002","Collaborative learning;deep learning (DL);multi-label image classification;multi-label noise;remote sensing (RS)","Noise measurement;Training;Federated learning;Convolutional neural networks;Data models;Task analysis;Noise robustness;Federated learning;Labeling","","33","","59","CCBY","20 Oct 2022","May 2024","","IEEE","IEEE Journals"
"Tackling “leaky” Facial and Object Recognition Operations Over Federated Learning","H. Vyas; P. M. Torrens","Computer Science and Engineering, NYU Tandon School of Engineering, New York, NY, USA; Computer Science and Engineering, NYU Tandon School of Engineering, New York, NY, USA",2024 4th Interdisciplinary Conference on Electrics and Computer (INTCEC),"30 Jul 2024","2024","","","1","5","Federated learning, which decentralizes learning algorithms and data over highly dynamic network and context parameters, presents significant opportunities for computing. Federated learning with facial and object recognition is of particular interest because they are converging on applications with potential privacy risks and vulnerabilities. In this paper, we examine the usage of Internet of Things (IoT) for facial and object recognition; specifically, federated video sensing in monitoring and surveillance. We propose an AI-based approach for federated learning at the edge. Our proposed solution does not transmit any captured data: all personal identifying images and videos are discarded from the IoT device after processing. We suggest that key motifs from the data can instead be framed by AI and traded through the federated learning architecture without added exposure to risk of leak and without saliency loss.","","979-8-3503-4945-0","10.1109/INTCEC61833.2024.10603278","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10603278","federated learning;computer vision;AI;IoT;security;privacy;image recognition;unidentified object identification","Privacy;Federated learning;Heuristic algorithms;Surveillance;Image edge detection;Face recognition;Computer architecture","","4","","22","IEEE","30 Jul 2024","11-13 June 2024","11-13 June 2024","IEEE","IEEE Conferences"
"A Concept Drift Based Approach To Evaluating Model Performance And Theoretical Lifespan","M. Hajmohammed; P. Chountas; T. J. Chaussalet","School of Computer Science & Eng., University of Westminster, London, United Kingdom; School of Computer Science & Eng., University of Westminster, London, United Kingdom; School of Computer Science & Eng., University of Westminster, London, United Kingdom",2024 14th International Conference on Pattern Recognition Systems (ICPRS),"23 Sep 2024","2024","","","1","6","Concept drift in data streams can be unpredictable and complex, and it can have a significant impact on predictive models. As the severity and complexity of the drift increases, so does the likelihood of a negative effect on the model itself. It is, therefore, critical to calculate the complexity of concept drift in data streams to predict the performance of pattern recognition and model’s theoretical lifespan. This paper presents a calculation approach that can provide a score for the overall complexity of concept drift in a dataset. Additionally it aids in predicting a model’s theoretical lifespan while measuring performance degradation and fluctuations in the complexity of concept drift. Even though concept drift detection has been researched extensively, concept drift complexity itself as a separate phenomenon has been under-researched even though this is an essential distinction to make, especially when using the value of complexity as a baseline for the overall complexity of drift in a dataset.","","979-8-3503-7565-7","10.1109/ICPRS62101.2024.10677806","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10677806","concept drift complexity;concept drift;concept drift longevity;model lifespan;pattern recognition","Degradation;Fluctuations;Concept drift;Predictive models;Data models;Complexity theory;Pattern recognition","","2","","24","IEEE","23 Sep 2024","15-18 July 2024","15-18 July 2024","IEEE","IEEE Conferences"
"Novel Concept Drift Detection and Adaptation (CDDA) Framework for Human-to-Machine (H2M) Applications over Future Communication Networks","X. Yu; L. Ruan; J. S. Evans; E. Wong","Dept. of Electrical and Electronic Engineering, The University of Melbourne, Victoria, Australia; Peng Cheng Laboratory, Shenzhen, Guangdong, P.R. China; Dept. of Electrical and Electronic Engineering, The University of Melbourne, Victoria, Australia; Dept. of Electrical and Electronic Engineering, The University of Melbourne, Victoria, Australia",ICC 2024 - IEEE International Conference on Communications,"20 Aug 2024","2024","","","5509","5514","Machine learning (ML)-enhanced future communication networks are able to advance human-to-machine (H2M) applications by intelligent bandwidth prediction techniques to achieve bandwidth pre-allocation. Existing methods of H2M bandwidth prediction typically assume the stationary data stream over time. However, in the near future, communication networks are expected to support dynamic and heterogeneous applications. Since different H2M applications will exhibit different traffic distributions and loads across the day, an ML model learned on a specific H2M application at a particular network load will, therefore, be unable to adapt to changing applications and network loads. This will give rise to the phenomenon known as concept drift. This paper addresses concept drift in dynamic and heterogeneous networks supporting H2M applications by proposing a novel framework, the concept drift detection and adaptation (CDDA) framework, to respond and adapt to the concept drift rapidly. CDDA learns the traffic characteristics of H2M applications and combines offline and online learning processes to enhance H2M traffic prediction and improve band-width prediction performance. Results from our investigation using experimental traffic from H2M applications over a 10Gb/s passive optical network simulator show that CDDA can more rapidly respond to concept drift and better predict the bandwidth of changing H2M applications and network load.","1938-1883","978-1-7281-9054-9","10.1109/ICC51166.2024.10622259","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10622259","Concept drift;human-to-machine (H2M);drift detection;drift adaptation","Adaptation models;Accuracy;Concept drift;Bandwidth;Predictive models;Heterogeneous networks;Passive optical networks","","7","","15","IEEE","20 Aug 2024","9-13 June 2024","9-13 June 2024","IEEE","IEEE Conferences"
"Privacy-Preserving Secure Distributed Computer Vision for Malaria Cells Detection","I. Arévalo; J. L. Salmeron; I. De La Oliva","CUNEF Universidad, Madrid, Spain; CUNEF Universidad, Madrid, Spain; Pixelabs, Madrid, Spain",2024 2nd International Conference on Federated Learning Technologies and Applications (FLTA),"21 Jan 2025","2024","","","202","207","Federated learning is a machine learning approach that enables multiple participants to collaboratively train a deep learning model using their sensitive data, all while maintaining data privacy. In this research, the authors employ an additional privacy layer with chaotic-maps based encryption for computer vision. This method is compared to the use of differential privacy as privacy layer. The experimental approach evaluates the performance of both methods and the results confirm that the federated learning process improves the average performance metrics of the computer vision model for all the experiments while maintaining the process secure, and that the chaotic-maps based encryption does not worsen the results of differential privacy.","","979-8-3503-5481-2","10.1109/FLTA63145.2024.10839973","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10839973","","Measurement;Computer vision;Differential privacy;Privacy;Accuracy;Federated learning;Computational modeling;Data models;Encryption;Security","","","","39","IEEE","21 Jan 2025","17-20 Sept. 2024","17-20 Sept. 2024","IEEE","IEEE Conferences"
"Edge Computing Assisted Pothole Detection and Lane Identification Augmented by Federated Learning","V. CP; V. BA; S. Zulfaquar","Department of Information Science and Engineering, New Horizon College of Engineering, Bangalore, India; Department of Information Science and Engineering, New Horizon College of Engineering, Bangalore, India; Department of Information Science and Engineering, New Horizon College of Engineering, Bangalore, India",2024 International Conference on IoT Based Control Networks and Intelligent Systems (ICICNIS),"10 Jan 2025","2024","","","1549","1552","Roads are transport infrastructure, and regular maintenance ensures safety and efficiency. Deteriorating asphalt can lead to potholes, increasing the risk of accidents. Therefore, this paper evaluates the deep learning architecture for detecting potholes and facilitating lane change assistance, involving federated learning and edge computing for road safety improvement. The pothole detection module uses CNNs trained on various road image datasets to identify potholes. Federated learning allows vehicles to train the model locally using their data and share updated model parameters with a central server, preserving privacy and reducing data transmission. Integration of TensorFlow and Keras ensures efficient model deployment and high accuracy in pothole detection. Once potholes are detected, it is activated by the lane change assistance system that aids accident prevention. Edge computing locally processes data, ensuring that the decisions and lane changes occur without delays in real time. The models are continuously improved because data from several vehicles contribute to a more robust system with federated learning. This approach improves pothole detection but also enhances lane change assistance, reducing accident risks. Federated learning is ensured to be privacy-preserving, and edge computing ensures fast processing. The experimental results demonstrate that the system surpasses the existing models in accuracy, safety, and real-time performance.","","979-8-3315-1809-7","10.1109/ICICNIS64247.2024.10823163","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10823163","Federated Learning;Machine Learning;Computer Vision;Edge Computing;Data Privacy","Accuracy;Federated learning;Computational modeling;Data models;Real-time systems;Road safety;Safety;Servers;Edge computing;Accidents","","","","16","IEEE","10 Jan 2025","17-18 Dec. 2024","17-18 Dec. 2024","IEEE","IEEE Conferences"
"A Concept Drift Detection Algorithm for Power Data Stream","J. Yu; H. Liu; Q. Guo; X. Chen; M. Xue","State Grid Information & Telecommunication Co.,Ltd, Beijing, China; State Grid Shandong Electric Power Company, Jinan, China; State Grid Information & Telecommunication Co.,Ltd, Beijing, China; State Grid Shandong Electric Power Company, Jinan, China; State Grid Information & Telecommunication Co.,Ltd, Beijing, China",2024 6th International Conference on Energy Systems and Electrical Power (ICESEP),"6 Sep 2024","2024","","","665","669","Due to the concept mean shift characteristic in the fusion and updating of power multi-source data, a concept drift detection classifier is needed for classification. The concept drift detection classifier is difficult to maintain high classification performance, and there are problems such as error detection and delay detection, a concept drift detection algorithm based on information entropy is proposed in this paper. Firstly, information entropy is used to detect concept drift in dynamic data stream. Then, the detected concept drift information is summarized and counted in the concept pool. Finally, two kinds of public real data are used for experiments, and the experimental results are analyzed to verify the validity and correctness of the model. Experimental results show that the proposed algorithm can effectively detect concept drift and update the classifier, and has good classification performance.","","979-8-3503-5356-3","10.1109/ICESEP62218.2024.10651984","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10651984","multi-source;classification;concept drift;information entropyt","Analytical models;Heuristic algorithms;Concept drift;Data visualization;Data models;Classification algorithms;Delays","","","","11","IEEE","6 Sep 2024","21-23 June 2024","21-23 June 2024","IEEE","IEEE Conferences"
