"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"FedSpikeViT: Energy-Adaptive Federated Learning Framework for Spiking Vision Transformers with Dynamic Drift Detection in Solar-Harvested Edge Networks","R. Gupta; N. Singh; R. Kakarlapudi; P. Chinapla",AMD Corporation; Micron Corporation; Micron Corporation; Applied Materials,2026 IEEE 16th Annual Computing and Communication Workshop and Conference (CCWC),"25 Feb 2026","2026","","","0595","0599","Bridging the gap between the computational demands of Vision Transformers (ViTs) and the resource constraints of solar-powered IoT is a fairly unexplored challenge. In this paper, we propose FedSpikeViT, a framework that connects the event-driven efficiency of Spiking Neural Networks (SNNs) to the global attention capabilities of Transformers. Our focus is ensuring sustainable operation on the edge keeping the ability to adapt to concept drift. We share a hierarchical design that partitions spiking-enhanced ViT layers across devices, modulating workloads based on real-time energy harvesting data. The contributions are threefold: (1) a Spike-Timing-Dependent Plasticity (STDP) attention mechanism that slashes computational overhead by 73.2%; (2) a dynamic partitioning algorithm that balances device heterogeneity against solar availability; and (3) a lightweight drift detector that leverages probabilistic spike patterns to gate model updates. Field trials with 12 solarpowered Raspberry Pi nodes confirm a 42.8% reduction in energy usage compared to standard ViTs, maintaining an average of 91.3% accuracy in agricultural disease detection amid fluctuating environmental conditions.","","979-8-3315-9397-1","10.1109/CCWC67433.2026.11393809","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11393809","Federated Learning;Spiking Neural Networks;Vision Transformers;Edge Computing;Energy Harvesting;Concept Drift;IoT Networks","Computer vision;Accuracy;Federated learning;Image edge detection;Heuristic algorithms;Concept drift;Spiking neural networks;Transformers;Energy harvesting;Standards","","","","27","IEEE","25 Feb 2026","5-7 Jan. 2026","5-7 Jan. 2026","IEEE","IEEE Conferences"
"Label Correction via Contrastive Embedding for Noisy Multi-label Learning","A. Tan; H. Xiang; W. Ding; W. -Z. Wu; J. Li; J. Liang","Fujian Province University Key Laboratory of Computation Science, School of Mathematical Sciences, Huaqiao University, Quanzhou, China; School of Information Engineering, Zhejiang Ocean University, Zhoushan, Zhejiang, China; School of Artificial Intelligence and Computer Science, Nantong University, Nantong, China; School of Information Engineering, Zhejiang Ocean University, Zhoushan, Zhejiang, China; Fujian Province University Key Laboratory of Computation Science, School of Mathematical Sciences, Huaqiao University, Quanzhou, China; Key Laboratory of Computational Intelligence and Chinese Information Processing of Ministry of Education, School of Computer and Information Technology, Shanxi University, Taiyuan, Shanxi, China",IEEE Transactions on Big Data,"","2026","PP","99","1","14","Multi-label learning plays a crucial role in numerous real-world applications, where each instance may be associated with multiple semantic labels. However, in practical scenarios, label noise is widespread and poses a significant challenge, as it can simultaneously distort multiple labels due to ambiguous annotations, human fatigue, or automated labeling inaccuracies. While considerable progress has been made in developing noise-robust methods for single-label learning, addressing noise in multi-label settings remains substantially more challenging due to the intricate interplay among multiple potentially corrupted labels. This underscores the pressing need for effective label correction strategies tailored to noisy multi-label learning. To address this gap, we propose a latent contrastive embedding framework designed for noisy multi-label scenarios. The approach not only learns robust feature representations through supervised contrastive learning but also dynamically identifies clean labels via a small-loss guided sample selection strategy. Moreover, the embedding and label correction processes are jointly optimized, allowing the model to capture the semantic structure of both features and labels under noisy conditions. Specifically, we adopt a small-loss criterion to distinguish clean from noisy samples during the early training phase. In addition, a balanced loss is introduced to mitigate the effects of label imbalance and sample difficulty. Finally, comprehensive experiments conducted under various patterns and levels of label noise demonstrate the superior robustness and generalization ability of the proposed method in noisy multi-label classification tasks.","2332-7790","","10.1109/TBDATA.2026.3668645","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11415665","Multi-label learning;noisy labels;label propagation;label correction;sample selection","Noise measurement;Noise;Contrastive learning;Multi label classification;Semantics;Correlation;Feature extraction;Artificial neural networks;Data models;Training","","","","","IEEE","27 Feb 2026","","","IEEE","IEEE Early Access Articles"
"Redefining non-IID Data in Federated Learning for Computer Vision Tasks: Migrating from Labels to Embeddings for Task-Specific Data Distributions","K. Borazjani; P. Abdisarabshali; N. Khosravan; S. Hosseinalipour","Department of Electrical Engineering, University at Buffalo–SUNY, Buffalo, NY, USA; Department of Electrical Engineering, University at Buffalo–SUNY, Buffalo, NY, USA; Adobe Firefly, Seattle, WA, USA; Department of Electrical Engineering, University at Buffalo–SUNY, Buffalo, NY, USA",IEEE Transactions on Artificial Intelligence,"","2026","PP","99","1","15","Federated Learning (FL) has emerged as one of the prominent paradigms for distributed machine learning (ML). However, it is well-established that its performance can degrade significantly under non-IID (non-independent and identically distributed) data distributions across clients. To study this effect, the existing works predominantly emulate data heterogeneity by imposing label distribution skew across clients. In this paper, we show that label distribution skew fails to fully capture the data heterogeneity in computer vision tasks beyond classification, exposing an overlooked gap in the literature. Motivated by this, by utilizing pre-trained deep neural networks to extract task-specific data embeddings, we define task-specific data heterogeneity through the lens of each vision task and introduce a new level of data heterogeneity called embedding-based data heterogeneity. Our methodology involves clustering data points based on embeddings and distributing them among clients using the Dirichlet distribution. Through extensive experiments, we evaluate the performance of different FL methods under our revamped notion of data heterogeneity, introducing new benchmark performance measures to the literature. For instance, across seven representative computer vision tasks, our embedding-based heterogeneity formulation leads to up to around 60% increase in the observed loss under FedAvg, indicating that it more accurately exposes the performance degradation caused by data heterogeneity. We further unveil a series of open research directions that can be pursued.","2691-4581","","10.1109/TAI.2026.3677838","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11456500","Federated learning;computer vision;data heterogeneity;label distribution skew;non-IID data","Computer vision;Data models;Distributed databases;Computational modeling;Image edge detection;Artificial neural networks;Training;Servers;Feature extraction;Benchmark testing","","","","","IEEE","26 Mar 2026","","","IEEE","IEEE Early Access Articles"
"RetinaFL: A Real-Time Federated Learning System For Diabetic Retinopathy Detection Across Clinic","Vennila.M; S. Sudurshan.S; Sriram.C; Sudhan.C","Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore, India; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore, India; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore, India; Department of Computer Science and Engineering, Karpagam Academy of Higher Education, Coimbatore, India",2026 6th International Conference on Image Processing and Capsule Networks (ICIPCN),"23 Mar 2026","2026","","","1718","1722","The Diabetic Retinopathy (DR) is considered one of the most prominent causes of vision loss and blindness among the world, especially in areas where doctors are not available. Loss of vision is very much preventable by early detection although many clinics have difficulties in screening high population because there is lack of specialists and centralized imaging facilities. This paper introduces RetinaFL, a federated learning framework that is implemented in real-time and is able to provide collaborative diagnosis of DR in multiple clinics without infringing patient privacy. Unlike the old-fashioned centralized methods, RetinaFL offers the possibility to train deep learning models directly on retinal fundus images locally without the need to share important data, without violating health laws, including HIPAA and GDPR. The system is constructed in convolutional neural networks, and applied to the TensorFlow Federated system, where mechanisms of differential privacy can be applied to the updates in the model to improve the security. RetinaFL facilitates inference at the client, which means that predictions can be carried out on hospital-level edge devices. In EyePACS and APTOS data experiments, RetinaFL was able to achieve 97.2% accuracy with the inference times of less than 200 milliseconds on regular edge GPUs. It can be used in rural screening camps and mobile eye units since it is compatible with portable fundus cameras and Android-based applications. The article RetinaFL shows that federated learning can be used to deliver real-time, decentralized DR screening without compromising data privacy.","","979-8-3315-9981-2","10.1109/ICIPCN67432.2026.11438516","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11438516","Diabetic Retinopathy;Federated Learning;Retinal Fundus Imaging;Privacy-Preserving Machine Learning;Real-Time Diagnosis;Deep Learning;TensorFlow Federated","Deep learning;Diabetic retinopathy;Privacy;Differential privacy;Accuracy;Sensitivity;Federated learning;Collaboration;Retina;Real-time systems","","","","15","IEEE","23 Mar 2026","27-29 Jan. 2026","27-29 Jan. 2026","IEEE","IEEE Conferences"
"Privacy-Preserving Federated Vision Transformer Learning Leveraging Lightweight Homomorphic Encryption in Medical AI","A. Amin; K. Hasan; L. Hong; S. Ullah","Department of Electrical and Computer Engineering, Tennessee State University, Nashville, TN, USA; Department of Electrical and Computer Engineering, Tennessee State University, Nashville, TN, USA; Department of Electrical and Computer Engineering, Tennessee State University, Nashville, TN, USA; University of Central Arkansas, Conway, AR, USA","2026 International Conference on Computing, Networking and Communications (ICNC)","9 Mar 2026","2026","","","622","628","Collaborative machine learning across healthcare institutions promises improved diagnostic accuracy by leveraging diverse datasets, yet privacy regulations such as HIPAA prohibit direct patient data sharing. While federated learning (FL) enables decentralized training without raw data exchange, recent studies demonstrate that model gradients in conventional FL remain vulnerable to reconstruction attacks, potentially exposing sensitive medical information. This paper presents a privacy-preserving federated learning framework combining Vision Transformers (ViT) with homomorphic encryption (HE) for secure multiinstitutional histopathology classification. This approach leverages the ViT’s [CLS] token as a compact 768-dimensional feature representation as the unit of secure aggregation, encrypting these tokens using CKKS homomorphic encryption before server transmission. We demonstrate that encrypting [CLS] tokens achieves a 30-fold communication reduction compared to gradient encryption while maintaining strong privacy guarantees. Through evaluation on a three-client federated setup for lung cancer histopathology classification, we show that Gradients are highly susceptible to model inversion attacks (PSNR: 52.26 dB, SSIM: 0.999, NMI: 0.741), enabling near-perfect image reconstruction. In contrast, the proposed CLS-protected HE approach prevents such attacks while enabling encrypted inference directly on ciphertexts, requiring only 326 KB encrypted data transmission per aggregation round. The framework achieves $\mathbf{9 6. 1 2 \%}$ global classification accuracy in the unencrypted domain and 90.02% in the encrypted domain.","2473-7585","979-8-3315-7111-5","10.1109/ICNC68183.2026.11416875","U.S. Department of Energy; National Science Foundation; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11416875","Federated Learning;Homomorphic Encryption;Vision Transformer;Medical Image Privacy","Privacy;Computer vision;Accuracy;Histopathology;Federated learning;Transformers;Cryptography;Homomorphic encryption;Medical diagnostic imaging;Image reconstruction","","","","21","IEEE","9 Mar 2026","16-19 Feb. 2026","16-19 Feb. 2026","IEEE","IEEE Conferences"
"Robust Bus Dwell Time Predictive Machine Learning Model by Handling Real Concept Drift","K. Aravinthan; K. Selvanesan; G. Shanmugavadivel; U. Thayasivam","Department of Computer Science & Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Moratuwa, Sri Lanka; Department of Computer Science & Engineering, University of Moratuwa, Moratuwa, Sri Lanka",2026 6th International Conference on Advanced Research in Computing (ICARC),"31 Mar 2026","2026","","","1","6","Precise and reliable forecasting of dwell time at each bus stop helps passengers and operators in the urban and rural areas of developing countries that have heterogeneous traffic conditions. Existing studies have proposed various approaches to predict bus dwell time accurately. However, beyond the predictable patterns of seasonal changes, there can be unpredictable changes. In heterogeneous traffic conditions, the effect of these changes is multitudinal and further exacerbated. It may cause a deterioration in the accuracy of the existing bus dwell time predictive models. This phenomenon is known as concept drift. Therefore, we propose a robust strategy to handle concept drift that employs the active strategy with Drift Detection Method (DDM) and incremental learning. Further, we introduce the hybrid batch processing technique to eliminate the issues that arise when formulating data batches. The proposed approach achieved a 17.35% improvement in terms of mean absolute error (MAE) when compared to the XGBoost-based bus dwell time predictive model and achieved 2.04% lower MAE and 55.28% reduction in MAPT compared to the baseline concept drift handling strategy. Despite the presence of concept drift, our strategy can result in a robust model capable of predicting bus dwell time accurately while adapting to dynamic changes.","","979-8-3315-5723-2","10.1109/ICARC68737.2026.11453844","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11453844","concept drift;incremental online learning;batch processing","Adaptation models;Incremental learning;Accuracy;Computational modeling;Concept drift;Batch production systems;Predictive models;Developing countries;Reliability;Forecasting","","","","22","IEEE","31 Mar 2026","18-19 Feb. 2026","18-19 Feb. 2026","IEEE","IEEE Conferences"
"An Unsupervised Entropy-Complexity Framework for Real-Time Concept Drift Detection","K. Barbosa Costa; A. C. Frery; A. Aquino; G. D. C. Cavalcanti","Centro de Informática (CIn), Universidade Federal de Pernambuco (UFPE), Recife, Brazil; School of Mathematics and Statistics, Victoria University of Wellington, Wellington, New Zealand; Instituto de Computação (IC), Universidade Federal de Alagoas (UFAL), Maceió, Brazil; Centro de Informática (CIn), Universidade Federal de Pernambuco (UFPE), Recife, Brazil",IEEE Access,"2 Mar 2026","2026","14","","30107","30124","Monitoring and detecting changes in sensor and ubiquitous network data streams (data drifts) is essential to ensure reliability, adaptability, and security in dynamic environments. We present Quantile-based Change Voting with Entropy and Complexity (QCV-HxC), an unsupervised framework for drift detection based on the temporal evolution of permutation entropy and statistical complexity, both derived from ordinal patterns representations. This framework combines smoothed temporal derivatives of these measures using composite functions, identifies change points using quantile-based thresholds, and then applies a voting mechanism across detection windows. We evaluate QCV-HxC on both real-world data with temporal dependencies (Electricity Market) and synthetic streams exhibiting abrupt concept shifts (RTG_2abrupt). Experimental results demonstrate that QCV-HxC achieves an average  $\mathbf {F_{1}}$ -score of 0.80, surpassing traditional detectors such as ADWIN and Page-Hinkley-while operating entirely without label supervision. These findings indicate that the proposed framework provides a robust, efficient, and interpretable solution for real-time drift detection and online monitoring in wireless, sensor, and ubiquitous computing environments.","2169-3536","","10.1109/ACCESS.2026.3667170","Alagoas Research Support Foundation (FAPEAL)(grant numbers:E:60030.0000000180/2023,E:60030.0000002334/2024); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11408132","Change detection;streaming concept drift;unsupervised drift detection;entropy-complexity analysis","Real-time systems;Entropy;Concept drift;Complexity theory;Detectors;Feature extraction;Monitoring;Noise;Wireless sensor networks;Time series analysis","","","","47","CCBY","23 Feb 2026","2026","","IEEE","IEEE Journals"
"Unveiling Group-Specific Distributed Concept Drift: A Fairness Imperative in Federated Learning","T. Salazar; J. Gama; H. Araújo; P. H. Abreu","Department of Informatics Engineering, Centre for Informatics and Systems of the University of Coimbra (CISUC/LASI), University of Coimbra, Coimbra, Portugal; INESC TEC, Faculty of Economy, University of Porto, Porto, Portugal; Department of Electrical and Computer Engineering, Institute of Systems and Robotics, University of Coimbra, Coimbra, Portugal; Department of Informatics Engineering, Centre for Informatics and Systems of the University of Coimbra (CISUC/LASI), University of Coimbra, Coimbra, Portugal",IEEE Transactions on Neural Networks and Learning Systems,"8 Jan 2026","2026","37","1","161","175","In the evolving field of machine learning, ensuring group fairness has become a critical concern, prompting the development of algorithms designed to mitigate bias in decision-making processes. Group fairness refers to the principle that a model’s decisions should be equitable across different groups defined by sensitive attributes such as gender or race, ensuring that individuals from privileged groups and unprivileged groups are treated fairly and receive similar outcomes. However, achieving fairness in the presence of group-specific concept drift remains an unexplored frontier, and our research represents pioneering efforts in this regard. Group-specific concept drift refers to situations where one group experiences concept drift over time, while another does not, leading to a decrease in fairness even if accuracy (ACC) remains fairly stable. Within the framework of federated learning (FL), where clients collaboratively train models, its distributed nature further amplifies these challenges since each client can experience group-specific concept drift independently while still sharing the same underlying concept, creating a complex and dynamic environment for maintaining fairness. The most significant contribution of our research is the formalization and introduction of the problem of group-specific concept drift and its distributed counterpart, shedding light on its critical importance in the field of fairness. In addition, leveraging insights from prior research, we adapt an existing distributed concept drift adaptation algorithm to tackle group-specific distributed concept drift, which uses a multimodel approach, a local group-specific drift detection mechanism, and continuous clustering of models over time. The findings from our experiments highlight the importance of addressing group-specific concept drift and its distributed counterpart to advance fairness in machine learning.","2162-2388","","10.1109/TNNLS.2025.3601834","National Funds from the Fundação para a Ciência e a Tecnologia (FCT), I.P(grant numbers:UIDB/00326/2025,UIDP/00326/2025); Portuguese FCT Research(grant numbers:2021.05763.BD); Portuguese Recovery and Resilience Plan (PRR) through the Center for Responsible AI(grant numbers:C645008882-00000055); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11145953","Concept drift;fairness;federated learning (FL)","Concept drift;Adaptation models;Machine learning algorithms;Data models;Federated learning;Biological system modeling;Distributed databases;Clustering algorithms;Classification algorithms;Accuracy","","2","","45","IEEE","1 Sep 2025","Jan. 2026","","IEEE","IEEE Journals"
"Sample-Level Prototypical Federated Learning","C. Meng; J. Yang; H. Niu; G. Habault; R. Legaspi; S. Wada; C. Ono; Y. Liu","Department of Computer Science, University of Southern California, Los Angeles, CA, USA; Department of Computer Science and Engineering, University of California San Diego, San Diego, CA, USA; KDDI Research, Inc., Fujimino, Japan; KDDI Research, Inc., Fujimino, Japan; KDDI Research, Inc., Fujimino, Japan; KDDI Research, Inc., Fujimino, Japan; KDDI Research, Inc., Fujimino, Japan; Department of Computer Science, University of Southern California, Los Angeles, CA, USA",IEEE Transactions on Pattern Analysis and Machine Intelligence,"9 Jan 2026","2026","48","2","1133","1144","With the increasing concerns about privacy and data regulations, federated learning (FL) has been emerging as a solution to train machine learning models collaboratively with non-exchangeable data from multiple clients. As a result of data locality, data is usually not identically or independently (non-IID) distributed across clients, and the non-IID property has long been the key challenge in FL. Furthermore, in real-world cross-silo scenarios, it is ubiquitous that clients are organizations owning private data from multiple domains internally, which exacerbates the non-IID issue. For example, in healthcare applications, each client (hospital) gathers data from patients with heterogeneous demographics. While previous works have made efforts to address the non-IID challenge across clients by assuming various relations among client-level data distributions and enabling personalized models at the client level, they ignore the internal data heterogeneity within each client or require explicit data domain indicators, which are hardly accessible in real-world data. Here, we propose Sample-Level Prototypical Federated Learning (SL-PFL) to bridge the gap. SL-PFL incorporates prototypical learning under the FL framework and provides a fine-grained personalized model for each data sample instead of learning one uniform model for all samples of each client. Meanwhile, it can be trained using data without ground-truth domain indicators. Experimental results demonstrate that our proposed method with sample-level personalized models outperforms existing FL methods with a global model or client-level personalized models on various real-world regression and classification tasks from weather, computer vision, and healthcare applications.","1939-3539","","10.1109/TPAMI.2025.3612302","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11173936","Federated learning;personalization;privacy;representation learning","Data models;Training;Federated learning;Prototypes;Distributed databases;Computational modeling;Predictive models;Semisupervised learning;Convergence;Contrastive learning","","","","49","IEEE","19 Sep 2025","Feb. 2026","","IEEE","IEEE Journals"
"Learning Unbiased Cluster Descriptors for Interpretable Imbalanced Concept Drift Detection","Y. Zhang; Z. Huang; M. Zhao; C. Zhang; Y. Lu; Y. Ji; F. Gu; A. Zeng","School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; Key Laboratory of Multimedia Trusted Perception and Efficient Computing, Ministry of Education of China, Xiamen University, Xiamen, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China; School of Mathematics and Statistics, Guangdong University of Technology, Guangzhou, China; School of Computer Science and Technology, Guangdong University of Technology, Guangzhou, China",IEEE Transactions on Emerging Topics in Computational Intelligence,"22 Jan 2026","2026","10","1","721","734","Unlabeled streaming data are usually collected to describe dynamic systems, where concept drift detection is a vital prerequisite to understanding the evolution of systems. However, the drifting concepts are usually imbalanced in most real cases, which brings great challenges to drift detection. That is, the dominant statistics of large clusters can easily mask the drifting of small cluster distributions (also called small concepts), which is known as the ‘masking effect’. Considering that most existing approaches only detect the overall existence of drift under the assumption of balanced concepts, two critical problems arise: 1) where the small concept is, and 2) how to detect its drift. To address the challenging concept drift detection for imbalanced data, we propose Imbalanced Cluster Descriptor-based Drift Detection (ICD3) approach that is unbiased to the imbalanced concepts. This approach first detects imbalanced concepts by employing a newly designed multi-distribution-granular search, which ensures that the distribution of both small and large concepts is effectively captured. Subsequently, it trains a One-Cluster Classifier (OCC) for each identified concept to carefully monitor their potential drifts in the upcoming data chunks. Since the detection is independently performed for each concept, the dominance of large clusters is thus circumvented. ICD3 demonstrates highly interpretability by specifically locating the drifted concepts, and is robust to the changing of the imbalance ratio of concepts. Comprehensive experiments with multi-aspect ablation studies conducted on various benchmark datasets demonstrate the superiority of ICD3 against the state-of-the-art counterparts.","2471-285X","","10.1109/TETCI.2025.3598327","National Natural Science Foundation of China(grant numbers:62476063,62302104,62376233); Natural Science Foundation of Guangdong Province(grant numbers:2025A1515011293,2023A1515012884); Natural Science Foundation of Fujian Province(grant numbers:2024J09001); Science and Technology Program of Guangzhou(grant numbers:SL2023A04J01625); Xiaomi Young Talents Program; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=11134305","Concept drift detection;imbalanced data learning;unsupervised learning;streaming data;cluster analysis","Concept drift;Monitoring;Predictive models;Error analysis;Data models;Accuracy;Sensitivity;Data analysis;Computer science;Training","","2","","60","IEEE","22 Aug 2025","Feb. 2026","","IEEE","IEEE Journals"
