"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"A Review on Machine Learning Styles in Computer Vision—Techniques and Future Directions","S. V. Mahadevkar; B. Khemani; S. Patil; K. Kotecha; D. R. Vora; A. Abraham; L. A. Gabralla","Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Centre for Applied Artificial Intelligence, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Centre for Applied Artificial Intelligence, Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Symbiosis Institute of Technology, Symbiosis International (Deemed University), Pune, India; Machine Intelligence Research Laboratories (MIR Laboratories), Auburn, WA, USA; Department of Computer Science and Information Technology, College of Applied, Princess Nourah Bint Abdulrahman University, Riyadh, Saudi Arabia",IEEE Access,"13 Oct 2022","2022","10","","107293","107329","Computer applications have considerably shifted from single data processing to machine learning in recent years due to the accessibility and availability of massive volumes of data obtained through the internet and various sources. Machine learning is automating human assistance by training an algorithm on relevant data. Supervised, Unsupervised, and Reinforcement Learning are the three fundamental categories of machine learning techniques. In this paper, we have discussed the different learning styles used in the field of Computer vision, Deep Learning, Neural networks, and machine learning. Some of the most recent applications of machine learning in computer vision include object identification, object classification, and extracting usable information from images, graphic documents, and videos. Some machine learning techniques frequently include zero-shot learning, active learning, contrastive learning, self-supervised learning, life-long learning, semi-supervised learning, ensemble learning, sequential learning, and multi-view learning used in computer vision until now. There is a lack of systematic reviews about all learning styles. This paper presents literature analysis of how different machine learning styles evolved in the field of Artificial Intelligence (AI) for computer vision. This research examines and evaluates machine learning applications in computer vision and future forecasting. This paper will be helpful for researchers working with learning styles as it gives a deep insight into future directions.","2169-3536","","10.1109/ACCESS.2022.3209825","Princess Nourah bint Abdulrahman University Researchers(grant numbers:PNURSP2022R178); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9903420","Machine learning techniques;computer vision;supervised learning;multi-task learning;object detection;artificial intelligence;image categorization;zero-shot learning","Machine learning;Computer vision;Object detection;Artificial intelligence;Machine learning algorithms;Image segmentation;Feature extraction","","208","","115","CCBY","26 Sep 2022","2022","","IEEE","IEEE Journals"
"Local Learning Matters: Rethinking Data Heterogeneity in Federated Learning","M. Mendieta; T. Yang; P. Wang; M. Lee; Z. Ding; C. Chen","Center for Research in Computer Vision, University of Central Florida, USA; Center for Research in Computer Vision, University of Central Florida, USA; Department of Computer Science, University of North Carolina at Charlotte, USA; Department of Computer Science, University of North Carolina at Charlotte, USA; Department of Computer Science, Tulane University, USA; Center for Research in Computer Vision, University of Central Florida, USA",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","8387","8396","Federated learning (FL) is a promising strategy for performing privacy-preserving, distributed learning with a network of clients (i.e., edge devices). However, the data distribution among clients is often non-IID in nature, making efficient optimization difficult. To alleviate this issue, many FL algorithms focus on mitigating the effects of data heterogeneity across clients by introducing a variety of proximal terms, some incurring considerable compute and/or memory overheads, to restrain local updates with respect to the global model. Instead, we consider rethinking solutions to data heterogeneity in FL with a focus on local learning generality rather than proximal restriction. To this end, we first present a systematic study informed by second-order indicators to better understand algorithm effectiveness in FL. Interestingly, we find that standard regularization methods are surprisingly strong performers in mitigating data heterogeneity effects. Based on our findings, we further propose a simple and effective method, FedAlign, to overcome data heterogeneity and the pitfalls of previous methods. FedAlign achieves competitive accuracy with state-of-the-art FL methods across a variety of settings while minimizing computation and memory overhead. Code is available at https://github.com/mmendiet/FedAlign.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.00821","NSF; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9880310","Privacy and federated learning; Efficient learning and inferences","Performance evaluation;Computer vision;Computer aided instruction;Systematics;Federated learning;Distance learning;Data models","","161","","36","IEEE","27 Sep 2022","18-24 June 2022","18-24 June 2022","IEEE","IEEE Conferences"
"Robust Federated Learning with Noisy and Heterogeneous Clients","X. Fang; M. Ye","Hubei Key Laboratory of Multimedia and Network Communication Engineering, School of Computer Science, National Engineering Research Center for Multimedia Software, Institute of Artificial Intelligence, Wuhan University, Wuhan, China; Hubei Key Laboratory of Multimedia and Network Communication Engineering, School of Computer Science, National Engineering Research Center for Multimedia Software, Institute of Artificial Intelligence, Wuhan University, Wuhan, China",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","10062","10071","Model heterogeneous federated learning is a challenging task since each client independently designs its own model. Due to the annotation difficulty and free-riding par-ticipant issue, the local client usually contains unavoidable and varying noises, which cannot be effectively addressed by existing algorithms. This paper starts the first attempt to study a new and challenging robust federated learning problem with noisy and heterogeneous clients. We present a novel solution RHFL (Robust Heterogeneous Federated Learning), which simultaneously handles the label noise and performs federated learning in a single framework. It is featured in three aspects: (1) For the communication be-tween heterogeneous models, we directly align the models feedback by utilizing public data, which does not require additional shared global models for collaboration. (2) For internal label noise, we apply a robust noise-tolerant loss function to reduce the negative effects. (3) For challenging noisy feedback from other participants, we design a novel client confidence re-weighting scheme, which adaptively as-signs corresponding weights to each client in the collabo-rative learning stage. Extensive experiments validate the effectiveness of our approach in reducing the negative ef-fects of different noise rates/types under both model ho-mogeneous and heterogeneous federated learning settings, consistently outperforming existing methods.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.00983","National Natural Science Foundation of China(grant numbers:62176188); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878489","Privacy and federated learning","Adaptation models;Privacy;Computer vision;Computational modeling;Collaboration;Collaborative work;Data models","","156","","60","IEEE","27 Sep 2022","18-24 June 2022","18-24 June 2022","IEEE","IEEE Conferences"
"Federated Deep Learning for Automated Detection of Diabetic Retinopathy","N. Z. Abidin; A. Ritahani Ismail","Department of Computer Science, Kuliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia; Department of Computer Science, Kuliyyah of Information and Communication Technology, International Islamic University Malaysia, Kuala Lumpur, Malaysia","2022 IEEE 8th International Conference on Computing, Engineering and Design (ICCED)","13 Jan 2023","2022","","","1","5","Diabetic retinopathy (DR) is a primary cause of impaired vision that can lead to permanent blindness if not detected and treated early. Unfortunately, DR frequently has no early warning signs and may not generate any symptoms. According to recent figures, over 382 million people worldwide suffer from DR, with the number expected to climb to 592 million by 2030. Patients with DR may not be treated in time given the apparent large number of DR patients and inadequate medical resources in specific places, resulting in missed treatment possibilities and eventually irreversible vision loss. Color fundus diagnosis requires highly experienced experts to recognize the existence of tiny features and the relevance of DR. Unfortunately, manually diagnosing DR is time-consuming, tedious and error-prone. At the same time, the effect of manual interpretation is highly dependent on the medical expert experiences. Deep learning is a machine learning algorithm with potential for detecting the significance of DR. However, deep learning still suffers from high computational cost, requires tons of training data, over fitting, and non-trivial hyper parameter tuning. Thus, in order to build a model that can compete with medical experts, deep learning algorithms must feed a huge number of instances or pool data from other institutions. Federated learning allows deep learning algorithms to learn from a diverse set of data stored in multiple databases. Federated learning is a novel method for training deep learning models on local DR patient data, with just model parameters exchanged between medical facilities. The objectives of this research is to avoid the requirement sharing DR patient data, since such approaches expedite the development of deep learning models through the use of federated learning. Primarily, we propose a federated learning which decentralizes deep learning by eliminating the need to pool data in a single location. In this research, we present a practical method for the federated learning of deep network based on retinal image of diabetic retinopathy.","2767-7826","978-1-6654-5389-9","10.1109/ICCED56140.2022.10010636","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10010636","federated learning;deep learning;automated detection;diabetic retinopathy","Deep learning;Machine learning algorithms;Federated learning;Retinopathy;Computational modeling;Predictive models;Data models","","12","","30","IEEE","13 Jan 2023","28-29 July 2022","28-29 July 2022","IEEE","IEEE Conferences"
"FedCorr: Multi-Stage Federated Learning for Label Noise Correction","J. Xu; Z. Chen; T. Q. S. Quek; K. F. Ernest Chong",Singapore University of Technology and Design; Singapore University of Technology and Design; Singapore University of Technology and Design; Singapore University of Technology and Design,2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","10174","10183","Federated learning (FL) is a privacy-preserving distributed learning paradigm that enables clients to jointly train a global model. In real-world FL implementations, client data could have label noise, and different clients could have vastly different label noise levels. Although there exist methods in centralized learning for tackling label noise, such methods do not perform well on heterogeneous label noise in FL settings, due to the typically smaller sizes of client datasets and data privacy requirements in FL. In this paper, we propose FedCorr, a general multi-stage framework to tackle heterogeneous label noise in FL, without making any assumptions on the noise models of local clients, while still maintaining client data privacy. In particular, (1) FedCorr dynamically identifies noisy clients by exploiting the dimensionalities of the model prediction subspaces independently measured on all clients, and then identifies incorrect labels on noisy clients based on persample losses. To deal with data heterogeneity and to increase training stability, we propose an adaptive local proximal regularization term that is based on estimated local noise levels. (2) We further finetune the global model on identified clean clients and correct the noisy labels for the remaining noisy clients after finetuning. (3) Finally, we apply the usual training on all clients to make full use of all local data. Experiments conducted on CIFAR-10/100 with federated synthetic label noise, and on a real-world noisy dataset, Clothing1M, demonstrate that FedCorr is robust to label noise and substantially outperforms the state-of-the-art methods at multiple noise levels.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.00994","National Research Foundation(grant numbers:AISG-RP-2019-015); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878965","Privacy and federated learning; Deep learning architectures and techniques; Machine learning","Training;Data privacy;Adaptation models;Collaborative work;Loss measurement;Data models;Stability analysis","","90","","38","IEEE","27 Sep 2022","18-24 June 2022","18-24 June 2022","IEEE","IEEE Conferences"
"A Blockchain-Empowered Cluster-Based Federated Learning Model for Blade Icing Estimation on IoT-Enabled Wind Turbine","X. Cheng; W. Tian; F. Shi; M. Zhao; S. Chen; H. Wang","Engineering Research Center of Learning-Based Intelligent System (Ministry of Education), Key Laboratory of Computer Vision and System (Ministry of Education), School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China; Engineering Research Center of Learning-Based Intelligent System (Ministry of Education), Key Laboratory of Computer Vision and System (Ministry of Education), School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China; Engineering Research Center of Learning-Based Intelligent System (Ministry of Education), Key Laboratory of Computer Vision and System (Ministry of Education), School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China; Engineering Research Center of Learning-Based Intelligent System (Ministry of Education), Key Laboratory of Computer Vision and System (Ministry of Education), School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China; Engineering Research Center of Learning-Based Intelligent System (Ministry of Education), Key Laboratory of Computer Vision and System (Ministry of Education), School of Computer Science and Engineering, Tianjin University of Technology, Tianjin, China; Research Center for Optical Fibre Sensing, Zhejiang Laboratory, Hangzhou, China",IEEE Transactions on Industrial Informatics,"30 Sep 2022","2022","18","12","9184","9195","Wind energy is a fast-growing renewable energy but faces blade icing. Data-driven methods provide talented solutions for blade icing detection, but a considerable amount of Internet of Things data needs to be collected to a central server, which may lead to the leakage of sensitive business data. To address this limitation, this article proposes BLADE, a Blockchain-empowered imbalanced federated learning (FL) model for blade icing detection. With the help of the Blockchain, the conventional FL is improved without worrying about the failure of the single centralized server and boosts the privacy preserving. A validation mechanism is introduced into the Blockchain to enhance the defense against poisoning attacks. In addition, a novel imbalanced learning algorithm is integrated into BLADE to solve the class imbalance problem in the sensor data. BLADE is evaluated on ten wind turbines from two wind farms. The experimental results verify the effectiveness, superiority, and feasibility of the proposed BLADE.","1941-0050","","10.1109/TII.2022.3159684","International Cooperation Project of Guangdong Province(grant numbers:2021A0505030017); National Natural Science Foundation of China(grant numbers:62020106004); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9739983","Blade icing detection;blockchain;federated learning (FL);imbalance learning;Internet of Things (IoT)","Blades;Data models;Blockchains;Wind turbines;Servers;Collaborative work;Data privacy","","47","","39","IEEE","22 Mar 2022","Dec. 2022","","IEEE","IEEE Journals"
"FedCor: Correlation-Based Active Client Selection Strategy for Heterogeneous Federated Learning","M. Tang; X. Ning; Y. Wang; J. Sun; Y. Wang; H. Li; Y. Chen","Department of Electrical and Computer Engineering, Duke University; Department of Electronic Engineering, Tsinghua University; Department of Electrical and Computer Engineering, Duke University; Department of Electrical and Computer Engineering, Duke University; Department of Electronic Engineering, Tsinghua University; Department of Electrical and Computer Engineering, Duke University; Department of Electrical and Computer Engineering, Duke University",2022 IEEE/CVF Conference on Computer Vision and Pattern Recognition (CVPR),"27 Sep 2022","2022","","","10092","10101","Client-wise data heterogeneity is one of the major issues that hinder effective training in federated learning (FL). Since the data distribution on each client may vary dramatically, the client selection strategy can significantly influence the convergence rate of the FL process. Active client selection strategies are popularly proposed in recent studies. However, they neglect the loss correlations between the clients and achieve only marginal improvement compared to the uniform selection strategy. In this work, we propose FedCoran FLframework built on a correlation-based client selection strategy, to boost the convergence rate of FL. Specifically, we first model the loss correlations between the clients with a Gaussian Process (GP). Based on the GP model, we derive a client selection strategy with a significant reduction of expected global loss in each round. Besides, we develop an efficient GP training method with a low communication overhead in the FL scenario by utilizing the covariance stationarity. Our experimental results show that compared to the state-of-the-art method, FedCorr can improve the convergence rates by 34% ~ 99% and 26% ~ 51% on FMNIST and CIFAR-10, respectively.","2575-7075","978-1-6654-6946-3","10.1109/CVPR52688.2022.00986","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9878504","Privacy and federated learning; Machine learning","Training;Computer vision;Correlation;Federated learning;Gaussian processes;Pattern recognition;Convergence","","113","","35","IEEE","27 Sep 2022","18-24 June 2022","18-24 June 2022","IEEE","IEEE Conferences"
"Partial Multi-Label Learning With Noisy Label Identification","M. -K. Xie; S. -J. Huang","MIIT Key Laboratory of Pattern Analysis and Machine Intelligence, Collaborative Innovation Center of Novel Software Technology and Industrialization, Nanjing University of Aeronautics and Astronautics, Nanjing, China; MIIT Key Laboratory of Pattern Analysis and Machine Intelligence, Collaborative Innovation Center of Novel Software Technology and Industrialization, Nanjing University of Aeronautics and Astronautics, Nanjing, China",IEEE Transactions on Pattern Analysis and Machine Intelligence,"3 Jun 2022","2022","44","7","3676","3687","Partial multi-label learning (PML) deals with problems where each instance is assigned with a candidate label set, which contains multiple relevant labels and some noisy labels. Recent studies usually solve PML problems with the disambiguation strategy, which recovers ground-truth labels from the candidate label set by simply assuming that the noisy labels are generated randomly. In real applications, however, noisy labels are usually caused by some ambiguous contents of the example. Based on this observation, we propose a partial multi-label learning approach to simultaneously recover the ground-truth information and identify the noisy labels. The two objectives are formalized in a unified framework with trace norm and $\ell _1$ℓ1 norm regularizers. Under the supervision of the observed noise-corrupted label matrix, the multi-label classifier and noisy label identifier are jointly optimized by incorporating the label correlation exploitation and feature-induced noise model. Furthermore, by mapping each bag to a feature vector, we extend PML-NI method into multi-instance multi-label learning by identifying noisy labels based on ambiguous instances. A theoretical analysis of generalization bound and extensive experiments on multiple data sets from various real-world tasks demonstrate the effectiveness of the proposed approach.","1939-3539","","10.1109/TPAMI.2021.3059290","National Key R&D Program of China(grant numbers:2020AAA0107000); NSFC(grant numbers:62076128); China University S&T Innovation Plan Guided by the Ministry of Education; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9354590","Multi-lable learning;partial multi-label learning;candidate label set;noisy label identification;multi-instance multi-label learning","Noise measurement;Task analysis;Training;Labeling;Crowdsourcing;Correlation;Phase locked loops","","58","","57","IEEE","15 Feb 2021","1 July 2022","","IEEE","IEEE Journals"
"Learning From Crowds With Multiple Noisy Label Distribution Propagation","L. Jiang; H. Zhang; F. Tao; C. Li","School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Computer Science, China University of Geosciences, Wuhan, China; School of Mathematics and Physics, China University of Geosciences, Wuhan, China",IEEE Transactions on Neural Networks and Learning Systems,"27 Oct 2022","2022","33","11","6558","6568","Crowdsourcing services provide a fast, efficient, and cost-effective way to obtain large labeled data for supervised learning. Unfortunately, the quality of crowdsourced labels cannot satisfy the standards of practical applications. Ground-truth inference, simply called label integration, designs proper aggregation methods to infer the unknown true label of each instance (sample) from the multiple noisy label set provided by ordinary crowd labelers (workers). However, nearly all existing label integration methods focus solely on the multiple noisy label set per individual instance while totally ignoring the intercorrelation among multiple noisy label sets of different instances. To solve this problem, a multiple noisy label distribution propagation (MNLDP) method is proposed in this article. MNLDP at first estimates the multiple noisy label distribution of each instance from its multiple noisy label set and then propagates its multiple noisy label distribution to its nearest neighbors. Consequently, each instance absorbs a fraction of the multiple noisy label distributions from its nearest neighbors and yet simultaneously maintains a fraction of its own original multiple noisy label distribution. Empirical studies on a collection of an artificial dataset, six simulated UCI datasets, and three real-world crowdsourced datasets show that MNLDP outperforms all other existing state-of-the-art label integration methods in terms of the integration accuracy and classification accuracy.","2162-2388","","10.1109/TNNLS.2021.3082496","National Natural Science Foundation of China(grant numbers:U1711267); Fundamental Research Funds for the Central Universities(grant numbers:CUGGC03); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444560","Crowdsourcing;distribution propagation;label integration;multiple noisy label distribution","Noise measurement;Labeling;Crowdsourcing;Reliability;Task analysis;Bayes methods;Mathematical model","Humans;Neural Networks, Computer","75","","48","IEEE","31 May 2021","Nov. 2022","","IEEE","IEEE Journals"
"A Vision For Hierarchical Federated Learning in Dynamic Service Chaining","A. Bittar; C. Huang","Dept. of Systems and Computer Engineering, Carleton University, Ottawa, Canada; Dept. of Systems and Computer Engineering, Carleton University, Ottawa, Canada",2022 IEEE Conference on Network Function Virtualization and Software Defined Networks (NFV-SDN),"16 Dec 2022","2022","","","103","107","We have seen the tremendous expansion of machine learning (ML) technology in Artificial Intelligence (AI) applications, including computer vision, voice recognition, and many others. The availability of a vast amount of data has spurred the rise of ML technologies, especially Deep Learning (DL). Traditional ML systems consolidate all data into a central location, usually a data center, which may breach privacy and confidentiality rules. The Federated Learning (FL) concept has recently emerged as a promising solution for mitigating data privacy, legality, scalability, and unwanted bandwidth loss problems. This paper outlines a vision for leveraging FL for better traffic steering predictions. Specifically, we propose a hierarchical FL framework that will dynamically update service function chains in a network by predicting future user demand and network state using the FL method.","","978-1-6654-7334-7","10.1109/NFV-SDN56302.2022.9974900","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9974900","Service Function Chaining;SFC;Federated Learning;FL;Dynamic","Deep learning;Privacy;Data privacy;Data centers;Federated learning;Service function chaining;Scalability","","1","","40","IEEE","16 Dec 2022","14-16 Nov. 2022","14-16 Nov. 2022","IEEE","IEEE Conferences"
